cluster:0,len:52
                                              name  cluster
113               Jeff Green.RandomForestRegressor        3
..                                             ...      ...
191          Mirza Teletovic.RandomForestRegressor        3
193             Myles Turner.RandomForestRegressor        3
194          Nemanja Bjelica.RandomForestRegressor        3
197               Nick Young.RandomForestRegressor        3
199             Nik Stauskas.RandomForestRegressor        3
201           Nikola Mirotic.RandomForestRegressor        3
204              Norris Cole.RandomForestRegressor        3
206                Omer Asik.RandomForestRegressor        3
207              Omri Casspi.RandomForestRegressor        3
210         Patrick Beverley.RandomForestRegressor        3
215              Paul Pierce.RandomForestRegressor        3
217           Ramon Sessions.RandomForestRegressor        3
219                Raul Neto.RandomForestRegressor        3
220           Raymond Felton.RandomForestRegressor        3
225              Rodney Hood.RandomForestRegressor        3
227  Rondae Hollis-Jefferson.RandomForestRegressor        3
235               Seth Curry.RandomForestRegressor        3
236         Shabazz Muhammad.RandomForestRegressor        3
237             Shane Larkin.RandomForestRegressor        3
243             Steven Adams.RandomForestRegressor        3
244           T.J. McConnell.RandomForestRegressor        3
251               Tim Duncan.RandomForestRegressor        3
252              Tim Frazier.RandomForestRegressor        3
253         Tim Hardaway Jr..RandomForestRegressor        3
256               Tony Allen.RandomForestRegressor        3
258               Tony Snell.RandomForestRegressor        3
261               Trey Burke.RandomForestRegressor        3
265            Tyler Johnson.RandomForestRegressor        3
267           Tyson Chandler.RandomForestRegressor        3
269             Vince Carter.RandomForestRegressor        3

[92 rows x 2 columns]
cluster:4,len:78
                                             name  cluster
4           Al-Farouq Aminu.RandomForestRegressor        4
7              Allen Crabbe.RandomForestRegressor        4
9              Amir Johnson.RandomForestRegressor        4
12           Andre Roberson.RandomForestRegressor        4
16           Anthony Morrow.RandomForestRegressor        4
25             Bradley Beal.RandomForestRegressor        4
27         Brandon Jennings.RandomForestRegressor        4
28           Brandon Knight.RandomForestRegressor        4
32               C.J. Miles.RandomForestRegressor        4
34         Chandler Parsons.RandomForestRegressor        4
35            Channing Frye.RandomForestRegressor        4
39              Cody Zeller.RandomForestRegressor        4
40             Cole Aldrich.RandomForestRegressor        4
41             Corey Brewer.RandomForestRegressor        4
42              Cory Joseph.RandomForestRegressor        4
43             Courtney Lee.RandomForestRegressor        4
45            D.J. Augustin.RandomForestRegressor        4
47         Danilo Gallinari.RandomForestRegressor        4
49           Darrell Arthur.RandomForestRegressor        4
50          Darren Collison.RandomForestRegressor        4
51                David Lee.RandomForestRegressor        4
53           DeAndre Jordan.RandomForestRegressor        4
57          Dennis Schroder.RandomForestRegressor        4
58           Deron Williams.RandomForestRegressor        4
60             Derrick Rose.RandomForestRegressor        4
61         Derrick Williams.RandomForestRegressor        4
64             Dion Waiters.RandomForestRegressor        4
70            Dwight Powell.RandomForestRegressor        4
73                 Ed Davis.RandomForestRegressor        4
75          Emmanuel Mudiay.RandomForestRegressor        4
..                                            ...      ...
168              Luis Scola.RandomForestRegressor        4
182             Matt Barnes.RandomForestRegressor        4
186         Michael Beasley.RandomForestRegressor        4
188  Michael Kidd-Gilchrist.RandomForestRegressor        4
192             Monta Ellis.RandomForestRegressor        4
200            Nikola Jokic.RandomForestRegressor        4
203             Noah Vonleh.RandomForestRegressor        4
205               O.J. Mayo.RandomForestRegressor        4
209             P.J. Tucker.RandomForestRegressor        4
211       Patrick Patterson.RandomForestRegressor        4
218              Randy Foye.RandomForestRegressor        4
223        Robert Covington.RandomForestRegressor        4
224             Robin Lopez.RandomForestRegressor        4
232           Ryan Anderson.RandomForestRegressor        4
238        Shaun Livingston.RandomForestRegressor        4
239            Shelvin Mack.RandomForestRegressor        4
240            Solomon Hill.RandomForestRegressor        4
241         Stanley Johnson.RandomForestRegressor        4
249         Thabo Sefolosha.RandomForestRegressor        4
255           Tobias Harris.RandomForestRegressor        4
257             Tony Parker.RandomForestRegressor        4
260           Trevor Booker.RandomForestRegressor        4
262              Trey Lyles.RandomForestRegressor        4
264               Ty Lawson.RandomForestRegressor        4
270         Wayne Ellington.RandomForestRegressor        4
271          Wesley Johnson.RandomForestRegressor        4
272         Wesley Matthews.RandomForestRegressor        4
273             Will Barton.RandomForestRegressor        4
275         Wilson Chandler.RandomForestRegressor        4
277           Zach Randolph.RandomForestRegressor        4

[78 rows x 2 columns]
